matrix_name,m,n,nnz_original,nnz_bicg,standalone_gflops,bicg_gflops,perf_ratio,standalone_working_set,bicg_working_set,gflops_change_pct,nnz_change_pct,working_set_change_pct,device,cache_category
com-Youtube,1134890,1134890,5975248,7110138,250.42245433333332,222.93444692474964,0.8902334557747172,90.03221466064453,198.26,-10.976654422528275,18.993186558951194,120.21006674921293,NVIDIA-H100,Small (<= 128MB)
rajat30,643994,643994,6175377,6185006,311.34927366666665,289.23025469208966,0.9289575378991961,82.9498048400879,137.11,-7.104246210080391,0.15592570299756597,65.29273367709919,NVIDIA-H100,Small (<= 128MB)
radiation,223104,223104,7637688,7637688,258.4047126666667,255.4205833333333,0.9884517224839362,91.66000000000001,110.39,-1.1548277516063767,0.0,20.434213397337974,NVIDIA-H100,Small (<= 128MB)
Stanford_Berkeley,683446,683446,7583376,8266822,384.81616,331.1206120937482,0.8604644152515534,99.81858123779297,165.0,-13.953558474844668,9.01242401800992,65.29988500530627,NVIDIA-H100,Small (<= 128MB)
shipsec1,140874,140874,7813404,7813404,382.32607966666666,380.38635999999997,0.9949265305982845,92.09999999999998,103.93,-0.5073469401715537,0.0,12.844733984799165,NVIDIA-H100,Small (<= 128MB)
PR02R,161070,161070,8185136,8185136,388.2481493333333,385.221963,0.9922055357159343,96.74,110.26,-0.7794464284065696,0.0,13.975604713665508,NVIDIA-H100,Small (<= 128MB)
CurlCurl_2,806529,806529,8921789,8921789,365.49122733333337,330.12354933333336,0.9032324845166689,117.49,185.17,-9.676751548333106,0.0,57.60490254489743,NVIDIA-H100,Small (<= 128MB)
gupta3,16783,16783,9323427,9323427,433.67551699999996,426.12673366666667,0.9825934759113153,107.02,108.43,-1.7406524088684698,0.0,1.317510745655028,NVIDIA-H100,Small (<= 128MB)
mip1,66463,66463,10352819,10352819,443.09457466666663,441.87910133333327,0.9972568534962367,119.75,125.32,-0.2743146503763324,0.0,4.651356993736947,NVIDIA-H100,Small (<= 128MB)
pwtk,217918,217918,11634424,11634424,434.81920966666667,433.576333,0.9971416242911175,137.3,155.59,-0.2858375708882505,0.0,13.321194464675884,NVIDIA-H100,Large (> 128MB)
crankseg_2,63838,63838,14148858,14148858,466.40909533333337,464.20944966666667,0.9952838705576814,163.14,168.5,-0.47161294423185596,0.0,3.285521637857064,NVIDIA-H100,Large (> 128MB)
Si41Ge41H72,185639,185639,15011265,15011265,461.26156799999995,460.99863166666665,0.9994299626251687,175.33,190.91,-0.05700373748313243,0.0,8.886100496207144,NVIDIA-H100,Large (> 128MB)
TSOPF_RS_b2383,38120,38120,16171169,16173498,517.25227,515.3148954488341,0.9962544880640818,185.7933467102051,189.02,-0.37455119359182654,0.014402174635612304,1.7366893631706564,NVIDIA-H100,Large (> 128MB)
in-2004,1382908,1382908,16917053,17922551,442.2039893333333,384.9229229021601,0.8704646095175891,219.97298858642577,347.54,-12.953539048241092,5.943694803107846,57.992125412004434,NVIDIA-H100,Large (> 128MB)
Ga41As41H72,268096,268096,18488476,18488476,490.3331073333334,483.31180133333334,0.9856805386073454,216.69999999999996,239.19999999999996,-1.4319461392654613,0.0,10.383017997231198,NVIDIA-H100,Large (> 128MB)
